booking_id,customer_id,listing_id,booking_status,total_cost
bkg_528536,cust_78424,lst_868726,completed,110.32
bkg_492291,cust_20223,lst_048379,draft,88.83
bkg_610104,cust_29883,lst_193198,confirmed,76.85
bkg_237871,cust_80863,lst_333840,completed,152.88
bkg_075043,cust_69714,lst_289641,pending,27.22
bkg_786170,cust_04025,lst_761747,draft,45.02
bkg_919087,cust_78424,lst_451505,pending,159.79
bkg_938516,cust_02683,lst_214104,pending,68.18
bkg_048873,cust_23708,lst_392177,confirmed,91.64
bkg_277239,cust_74853,lst_002007,pending,47.42
bkg_720423,cust_20059,lst_402426,completed,57.96
bkg_687152,cust_35270,lst_571542,completed,146.53
bkg_202848,cust_01389,lst_774002,draft,41.25
bkg_180549,cust_81044,lst_812685,confirmed,144.88
bkg_877320,cust_99767,lst_598284,completed,132.24
bkg_114459,cust_96451,lst_125292,confirmed,121.62
bkg_116860,cust_45592,lst_466589,draft,142.96
bkg_356290,cust_58511,lst_125292,confirmed,124.7
bkg_017107,cust_29802,lst_667686,pending,133.58
bkg_690590,cust_83481,lst_648949,completed,74.97
bkg_198304,cust_57503,lst_748270,confirmed,104.57
bkg_434392,cust_19388,lst_340814,draft,149.17
bkg_224502,cust_59807,lst_451505,pending,168.83
bkg_568797,cust_45398,lst_376703,confirmed,35.92
bkg_953132,cust_80824,lst_942108,draft,117.09
bkg_579916,cust_06500,lst_255716,completed,46.95
bkg_092873,cust_13982,lst_214104,pending,67.01
bkg_735735,cust_77321,lst_289641,completed,28.88
bkg_895100,cust_22675,lst_532902,draft,79.69
bkg_368318,cust_45592,lst_571542,draft,152.38
bkg_978893,cust_36414,lst_462948,confirmed,43.85
bkg_397464,cust_49550,lst_214104,completed,68.46
bkg_863683,cust_69370,lst_134030,confirmed,93.37
bkg_075875,cust_89040,lst_048379,confirmed,89.91
bkg_661430,cust_29883,lst_720351,pending,30.5
bkg_076842,cust_80660,lst_134030,draft,94.03
bkg_103798,cust_69714,lst_185571,confirmed,73.92
bkg_875724,cust_27133,lst_812685,draft,144.19
bkg_138109,cust_23708,lst_870685,confirmed,90.74
bkg_409181,cust_40957,lst_333840,pending,151.77
bkg_677222,cust_02683,lst_462948,confirmed,45.8
bkg_134266,cust_99767,lst_845474,draft,146.11
bkg_208334,cust_36414,lst_183751,draft,139.31
bkg_183424,cust_29802,lst_351396,confirmed,142.47
bkg_606847,cust_21954,lst_392177,draft,91.79
bkg_596952,cust_03049,lst_444411,confirmed,150.15
bkg_055591,cust_04443,lst_125292,pending,129.38
bkg_981494,cust_45424,lst_466589,completed,143.09
bkg_990333,cust_14240,lst_193198,confirmed,77.18
bkg_765441,cust_59867,lst_891011,completed,58.93
bkg_951253,cust_39903,lst_183751,confirmed,138.61
bkg_602166,cust_27133,lst_462948,completed,43.83
bkg_279808,cust_03049,lst_021964,confirmed,112.14
bkg_608194,cust_45592,lst_351396,completed,148.27
bkg_049445,cust_28712,lst_571542,confirmed,146.75
bkg_351880,cust_71452,lst_648949,completed,73.7
bkg_497285,cust_90854,lst_133260,completed,144.2
bkg_449453,cust_22948,lst_774002,completed,41.23
bkg_008722,cust_29802,lst_780181,pending,82.76
bkg_589641,cust_13982,lst_021889,completed,137.78
bkg_697728,cust_29883,lst_273424,confirmed,30.5
bkg_683156,cust_28712,lst_877323,completed,46.22
bkg_210968,cust_22948,lst_636096,completed,110.05
bkg_217888,cust_49418,lst_512141,completed,70.84
bkg_769243,cust_27133,lst_891011,completed,57.12
bkg_172579,cust_95956,lst_362174,confirmed,42.57
bkg_881012,cust_67485,lst_642811,completed,117.08
bkg_862284,cust_23623,lst_243549,confirmed,33.42
bkg_848590,cust_71452,lst_846748,pending,26.67
bkg_548193,cust_42607,lst_273424,pending,31.55
bkg_103930,cust_19388,lst_942108,pending,114.96
bkg_517714,cust_92171,lst_512141,confirmed,69.61
bkg_057987,cust_32763,lst_483733,draft,127.69
bkg_728315,cust_19015,lst_582775,draft,24.22
bkg_945546,cust_59807,lst_870685,completed,89.77
bkg_719802,cust_11653,lst_750016,completed,75.18
bkg_136082,cust_42497,lst_305332,draft,50.43
bkg_660643,cust_62102,lst_675304,confirmed,89.39
bkg_663662,cust_22675,lst_720227,pending,150.18
bkg_171111,cust_99767,lst_002007,confirmed,45.92
bkg_272042,cust_53749,lst_333840,pending,149.37
bkg_015497,cust_22966,lst_787645,completed,131.32
bkg_649208,cust_68759,lst_812685,confirmed,149.51
bkg_418801,cust_23885,lst_582775,confirmed,26.08
bkg_927331,cust_58511,lst_273424,confirmed,30.29
bkg_876716,cust_70220,lst_065933,pending,145.65
bkg_454676,cust_43829,lst_746305,completed,145.6
bkg_914023,cust_10116,lst_780181,confirmed,83.41
bkg_729856,cust_01312,lst_845474,confirmed,153.38
bkg_466188,cust_20223,lst_589443,draft,27.88
bkg_544173,cust_23623,lst_942108,draft,109.58
bkg_642484,cust_69714,lst_125292,confirmed,129.34
bkg_704058,cust_22675,lst_305332,completed,49.99
bkg_564388,cust_01389,lst_333840,confirmed,157.6
bkg_467172,cust_06505,lst_362174,completed,43.0
bkg_257011,cust_94236,lst_774002,completed,41.3
bkg_619347,cust_94236,lst_870685,pending,89.18
bkg_985746,cust_66195,lst_598284,completed,125.61
bkg_754597,cust_13982,lst_134030,confirmed,97.98
bkg_136853,cust_22675,lst_134030,completed,94.17
