customer_id,signup_date
cust_60227,2025-07-12
cust_04025,2024-01-28
cust_57744,2024-10-11
cust_80863,2024-06-08
cust_27133,2024-12-18
cust_68759,2025-01-22
cust_02683,2024-07-15
cust_70220,2024-08-26
cust_83481,2024-12-29
cust_22966,2024-06-24
cust_52429,2025-07-24
cust_23708,2024-11-19
cust_40957,2024-08-05
cust_63942,2024-09-09
cust_75745,2025-01-05
cust_29500,2024-04-22
cust_11653,2025-04-24
cust_59807,2025-07-03
cust_77321,2024-01-04
cust_98251,2024-04-18
cust_82661,2024-06-14
cust_57503,2024-01-20
cust_13982,2024-09-03
cust_89040,2025-06-29
cust_71452,2025-03-09
cust_99767,2025-02-12
cust_96451,2024-08-18
cust_00550,2024-03-01
cust_29802,2025-05-12
cust_21954,2025-04-29
cust_81044,2025-04-23
cust_80660,2024-12-13
cust_81151,2024-07-06
cust_22948,2025-07-17
cust_06500,2024-08-30
cust_14240,2025-01-23
cust_03972,2025-07-23
cust_64120,2025-07-09
cust_03049,2025-06-27
cust_19015,2024-08-28
cust_49550,2024-03-24
cust_45592,2024-11-17
cust_23623,2024-03-15
cust_06505,2025-06-02
cust_29883,2024-06-10
cust_45398,2025-06-25
cust_08269,2024-05-17
cust_28712,2024-08-03
cust_72624,2024-02-22
cust_04207,2024-09-25
cust_14751,2024-06-01
cust_58511,2024-11-11
cust_39903,2024-09-12
cust_63589,2024-06-07
cust_92171,2025-02-26
cust_07398,2024-09-11
cust_27188,2024-08-15
cust_19388,2024-08-16
cust_01389,2024-10-12
cust_35683,2024-01-29
cust_19192,2024-04-21
cust_53749,2024-04-28
cust_35270,2025-07-05
cust_69714,2024-12-04
cust_66195,2025-02-22
cust_36516,2025-01-23
cust_69635,2024-01-01
cust_32763,2025-03-28
cust_42497,2024-06-22
cust_62660,2024-08-28
cust_62102,2025-05-01
cust_67485,2025-01-28
cust_42607,2024-04-19
cust_72864,2025-07-24
cust_28486,2025-07-26
cust_59867,2025-05-31
cust_49418,2025-04-05
cust_22675,2024-09-01
cust_20223,2025-07-07
cust_01312,2025-02-28
cust_45424,2025-08-21
cust_90854,2024-12-26
cust_23885,2025-07-13
cust_78424,2025-02-02
cust_36414,2024-05-10
cust_95956,2024-03-26
cust_61403,2024-08-04
cust_43829,2025-03-07
cust_20059,2024-12-24
cust_20900,2024-09-10
cust_10116,2025-07-31
cust_94236,2024-04-27
cust_71359,2025-08-12
cust_69370,2024-09-05
cust_17861,2025-08-02
cust_73435,2024-12-15
cust_04443,2025-04-15
cust_74792,2025-07-05
cust_74853,2024-09-08
cust_80824,2025-01-23
