listing_id,provider_id,title,service_type,description,hourly_rate,availability_slots
lst_343432,prov_25855,Move-Out Cleaning,cleaning,Standard weekly house cleaning service.,83.52,"[""2026-10-03T15:00:00Z"", ""2026-09-30T15:00:00Z""]"
lst_402426,prov_35395,Furniture Moving Assistance,moving,Furniture moving and heavy lifting assistance.,52.68,"[""2026-10-05T11:00:00Z""]"
lst_379617,prov_25759,Weekly House Cleaning,cleaning,Full apartment deep clean including kitchen and bathrooms.,59.29,"[""2026-09-24T13:00:00Z"", ""2026-10-03T11:00:00Z"", ""2026-09-29T15:00:00Z""]"
lst_102439,prov_28104,General Handy People Repairs,handyman,Small repairs including drywall patching and furniture assembly.,39.4,"[""2026-09-08T09:00:00Z"", ""2026-09-04T09:00:00Z"", ""2026-09-24T15:00:00Z"", ""2026-09-27T11:00:00Z"", ""2026-10-08T15:00:00Z""]"
lst_448936,prov_67922,Deep Apartment Cleaning,cleaning,Full apartment deep clean including kitchen and bathrooms.,91.76,"[""2026-09-17T15:00:00Z""]"
lst_227746,prov_97669,Deep Apartment Cleaning,cleaning,Move-out cleaning for rental apartments.,39.37,"[""2026-10-11T11:00:00Z""]"
lst_589443,prov_42545,Truck Loading Help,moving,Furniture moving and heavy lifting assistance.,23.36,"[""2026-10-02T09:00:00Z"", ""2026-10-07T13:00:00Z""]"
lst_571542,prov_94894,Small Home Repairs,handyman,Small repairs including drywall patching and furniture assembly.,131.51,"[""2026-09-15T15:00:00Z"", ""2026-09-07T15:00:00Z"", ""2026-10-11T09:00:00Z""]"
lst_433945,prov_96541,Furniture Moving Assistance,moving,Loading and unloading moving trucks.,77.47,"[""2026-09-25T13:00:00Z""]"
lst_594619,prov_62155,Deep Apartment Cleaning,cleaning,Standard weekly house cleaning service.,143.12,"[""2026-09-20T13:00:00Z"", ""2026-09-21T13:00:00Z""]"
lst_444411,prov_57107,Small Home Repairs,handyman,General Handy People services for minor home repairs.,126.67,"[""2026-10-05T13:00:00Z"", ""2026-10-12T15:00:00Z"", ""2026-10-14T11:00:00Z""]"
lst_443739,prov_89238,Move-Out Cleaning,cleaning,Standard weekly house cleaning service.,111.68,"[""2026-09-13T11:00:00Z"", ""2026-09-20T09:00:00Z"", ""2026-10-14T09:00:00Z""]"
lst_845474,prov_61493,General Handy People Repairs,handyman,General Handy People services for minor home repairs.,130.8,"[""2026-09-13T13:00:00Z"", ""2026-09-29T15:00:00Z"", ""2026-10-14T09:00:00Z"", ""2026-09-28T09:00:00Z"", ""2026-09-04T13:00:00Z""]"
lst_974068,prov_46907,Furniture Assembly & Mounting,handyman,Small repairs including drywall patching and furniture assembly.,51.75,"[""2026-09-25T11:00:00Z"", ""2026-09-28T11:00:00Z""]"
lst_452646,prov_84250,Garage Cleanout,custom,Miscellaneous home project support.,145.06,"[""2026-09-18T13:00:00Z"", ""2026-10-13T15:00:00Z""]"
lst_133260,prov_83087,Miscellaneous Task Help,custom,Garage cleanout and organization.,128.27,"[""2026-10-08T11:00:00Z"", ""2026-09-27T13:00:00Z"", ""2026-09-03T11:00:00Z""]"
lst_667686,prov_96345,Weekly House Cleaning,cleaning,Standard weekly house cleaning service.,117.17,"[""2026-10-09T13:00:00Z""]"
lst_598284,prov_87319,Local Moving Help,moving,Loading and unloading moving trucks.,114.15,"[""2026-10-13T13:00:00Z"", ""2026-09-23T09:00:00Z""]"
lst_466589,prov_12085,Deep Apartment Cleaning,cleaning,Move-out cleaning for rental apartments.,127.1,"[""2026-09-30T15:00:00Z""]"
lst_340814,prov_67947,Miscellaneous Task Help,custom,Custom job tailored to specific customer needs.,128.38,"[""2026-09-15T13:00:00Z"", ""2026-09-17T11:00:00Z"", ""2026-10-13T13:00:00Z""]"
lst_065933,prov_11846,General Handy People Repairs,handyman,Small repairs including drywall patching and furniture assembly.,122.28,"[""2026-09-03T11:00:00Z"", ""2026-09-10T13:00:00Z"", ""2026-09-17T09:00:00Z""]"
lst_582775,prov_29957,Local Moving Help,moving,Local moving help for apartments and small homes.,21.93,"[""2026-09-26T13:00:00Z""]"
lst_214104,prov_35426,Truck Loading Help,moving,Loading and unloading moving trucks.,59.21,[]
lst_841748,prov_31165,Move-Out Cleaning,cleaning,Move-out cleaning for rental apartments.,58.34,"[""2026-09-27T15:00:00Z"", ""2026-10-13T11:00:00Z"", ""2026-09-16T15:00:00Z"", ""2026-10-15T11:00:00Z""]"
lst_483733,prov_29640,Deep Apartment Cleaning,cleaning,Move-out cleaning for rental apartments.,116.04,"[""2026-09-24T09:00:00Z"", ""2026-09-26T13:00:00Z""]"
lst_648949,prov_02315,Local Moving Help,moving,Local moving help for apartments and small homes.,65.51,"[""2026-09-12T09:00:00Z"", ""2026-10-07T13:00:00Z"", ""2026-09-25T11:00:00Z"", ""2026-10-10T15:00:00Z"", ""2026-10-13T09:00:00Z""]"
lst_666027,prov_93116,Move-Out Cleaning,cleaning,Full apartment deep clean including kitchen and bathrooms.,31.93,"[""2026-09-15T15:00:00Z"", ""2026-09-10T11:00:00Z"", ""2026-09-12T13:00:00Z"", ""2026-10-05T13:00:00Z""]"
lst_750016,prov_62644,Move-Out Cleaning,cleaning,Full apartment deep clean including kitchen and bathrooms.,64.87,"[""2026-09-07T15:00:00Z""]"
lst_532902,prov_97721,Local Moving Help,moving,Local moving help for apartments and small homes.,69.43,"[""2026-09-21T13:00:00Z""]"
lst_800985,prov_57410,Move-Out Cleaning,cleaning,Standard weekly house cleaning service.,128.16,"[""2026-10-13T09:00:00Z"", ""2026-09-04T15:00:00Z""]"
lst_553333,prov_15159,Small Home Repairs,handyman,Small repairs including drywall patching and furniture assembly.,50.71,"[""2026-09-05T11:00:00Z""]"
