report_id,reference_type,reference_id,flag_status,flag_type,rating
rpt_04909,listing_id,lst_002007,investigating,pricing_dispute,
rpt_75075,listing_id,lst_193198,resolved,low_rating,2
rpt_45022,booking_id,bkg_208334,investigating,pricing_dispute,
rpt_27598,listing_id,lst_452646,investigating,pricing_dispute,
rpt_26920,booking_id,bkg_990333,investigating,low_rating,3
rpt_52983,booking_id,bkg_210968,investigating,low_rating,2
rpt_30097,listing_id,lst_444022,pending_review,low_rating,2
rpt_84157,booking_id,bkg_649208,resolved,low_rating,2
rpt_07001,booking_id,bkg_517714,resolved,low_rating,2
rpt_94443,booking_id,bkg_454676,resolved,low_rating,1
rpt_66757,listing_id,lst_362174,investigating,low_rating,3
rpt_62938,listing_id,lst_489087,resolved,no_show,
rpt_27782,listing_id,lst_889433,pending_review,pricing_dispute,
rpt_55105,listing_id,lst_021964,resolved,no_show,
rpt_77298,listing_id,lst_065933,pending_review,no_show,
rpt_62165,listing_id,lst_081323,resolved,safety_concern,
rpt_52007,booking_id,bkg_208334,pending_review,pricing_dispute,
rpt_62201,booking_id,bkg_449453,resolved,pricing_dispute,
rpt_66158,booking_id,bkg_434392,investigating,low_rating,2
rpt_77623,booking_id,bkg_683156,investigating,safety_concern,
rpt_33516,booking_id,bkg_356290,investigating,no_show,
rpt_76788,listing_id,lst_891011,resolved,safety_concern,
rpt_20285,listing_id,lst_840683,pending_review,safety_concern,
rpt_85815,listing_id,lst_462948,resolved,pricing_dispute,
rpt_02996,listing_id,lst_125292,pending_review,no_show,
rpt_55817,booking_id,bkg_786170,investigating,no_show,
rpt_22265,booking_id,bkg_765441,investigating,safety_concern,
rpt_80619,booking_id,bkg_467172,resolved,pricing_dispute,
rpt_51636,listing_id,lst_193198,investigating,pricing_dispute,
rpt_92483,booking_id,bkg_660643,resolved,low_rating,2
rpt_42521,listing_id,lst_840683,resolved,low_rating,2
rpt_43164,listing_id,lst_808761,pending_review,safety_concern,
rpt_21515,listing_id,lst_571542,investigating,no_show,
rpt_95496,booking_id,bkg_720423,investigating,no_show,
rpt_64424,listing_id,lst_891011,resolved,no_show,
rpt_62734,listing_id,lst_800985,investigating,safety_concern,
rpt_10596,listing_id,lst_048379,pending_review,low_rating,4
rpt_95857,listing_id,lst_376703,resolved,no_show,
rpt_50964,booking_id,bkg_981494,resolved,low_rating,5
rpt_49473,listing_id,lst_013446,investigating,no_show,
rpt_42828,booking_id,bkg_863683,pending_review,no_show,
rpt_77510,listing_id,lst_134030,investigating,pricing_dispute,
rpt_31628,booking_id,bkg_057987,resolved,pricing_dispute,
rpt_26747,booking_id,bkg_224502,resolved,pricing_dispute,
rpt_52337,listing_id,lst_290873,resolved,low_rating,2
rpt_46124,booking_id,bkg_103930,pending_review,low_rating,4
rpt_90019,booking_id,bkg_687152,investigating,low_rating,2
rpt_36794,booking_id,bkg_642484,pending_review,low_rating,4
rpt_42682,listing_id,lst_021889,resolved,no_show,
rpt_10201,booking_id,bkg_136853,investigating,safety_concern,
rpt_64207,listing_id,lst_392177,resolved,pricing_dispute,
rpt_89392,listing_id,lst_273424,resolved,safety_concern,
rpt_01555,booking_id,bkg_877320,resolved,pricing_dispute,
rpt_85695,listing_id,lst_081323,investigating,pricing_dispute,
rpt_68842,booking_id,bkg_015497,resolved,no_show,
rpt_78435,booking_id,bkg_397464,pending_review,pricing_dispute,
rpt_37351,booking_id,bkg_596952,resolved,no_show,
rpt_29694,listing_id,lst_553333,investigating,no_show,
rpt_22261,listing_id,lst_133260,resolved,low_rating,4
rpt_67504,booking_id,bkg_217888,investigating,pricing_dispute,
rpt_17537,listing_id,lst_589443,investigating,safety_concern,
rpt_90387,booking_id,bkg_114459,investigating,safety_concern,
rpt_60253,booking_id,bkg_568797,pending_review,pricing_dispute,
rpt_29314,booking_id,bkg_466188,investigating,pricing_dispute,
rpt_82115,listing_id,lst_845474,pending_review,pricing_dispute,
rpt_58187,booking_id,bkg_492291,investigating,no_show,
rpt_49857,booking_id,bkg_138109,resolved,pricing_dispute,
rpt_80012,booking_id,bkg_697728,investigating,low_rating,3
rpt_23583,booking_id,bkg_114459,resolved,pricing_dispute,
rpt_91561,booking_id,bkg_596952,resolved,pricing_dispute,
rpt_57406,booking_id,bkg_272042,pending_review,no_show,
rpt_69464,listing_id,lst_444411,investigating,no_show,
rpt_23226,booking_id,bkg_497285,resolved,pricing_dispute,
rpt_59410,listing_id,lst_290873,resolved,pricing_dispute,
rpt_70110,booking_id,bkg_103930,pending_review,low_rating,4
rpt_59160,booking_id,bkg_409181,pending_review,no_show,
